,log_return,log_return,log_return,open_gap_up,open_gap_up,open_gap_up,open_gap_down,open_gap_down,open_gap_down,log_return,shift,shift,shift,shift,shift,gap,gap
,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,^VIX,shift 0,shift 1,shift 2,shift 3,shift 4,open_gap_up,open_gap_down
Date,,,,,,,,,,,,,,,,,
2001-02-27,-0.006457884890888113,-0.03535445388788445,0.008725213097385392,0,1,0,0,0,0,0.035347517275487426,0.004132271996852028,-0.004536138738068536,-0.009944150797174922,0.005127178416977756,-0.0012884662418383974,0,0
2001-02-28,0.027037372730713025,-0.01026202523862008,-0.0019324268248361411,0,0,1,0,0,0,0.0724000114389794,-0.003929526314621987,0.004132271996852028,-0.004536138738068536,-0.009944150797174922,0.005127178416977756,0,0
2001-03-01,0.014896286659035326,-0.028355181434582877,0.00844678951937855,0,0,0,0,0,0,-0.05474175512462847,-0.0015727064819429021,-0.003929526314621987,0.004132271996852028,-0.004536138738068536,-0.009944150797174922,0,0
2001-03-02,0.008672142685935606,-0.026147756921043933,-0.00464899772553436,0,1,0,0,0,0,-0.05841333396659752,-0.008498249385989573,-0.0015727064819429021,-0.003929526314621987,0.004132271996852028,-0.004536138738068536,0,0
2001-03-05,-0.014131181923737473,-0.002249704136532697,-0.010294851498287731,0,1,0,0,0,0,-0.04329676403215929,0.012332696472748421,-0.008498249385989573,-0.0015727064819429021,-0.003929526314621987,0.004132271996852028,0,0
2001-03-06,-0.0019108286068893836,0.0033352050610175334,-0.002826225849039442,0,0,0,0,0,0,-0.014190107401991421,0.013514091553042989,0.012332696472748421,-0.008498249385989573,-0.0015727064819429021,-0.003929526314621987,0,0
2001-03-07,-0.0076800377490700384,-0.005552563023717727,0.0018922059723355436,0,0,0,0,0,0,-0.04697218978719469,-0.0016980801959962353,0.013514091553042989,0.012332696472748421,-0.008498249385989573,-0.0015727064819429021,0,0
2001-03-08,-0.018456084820910674,0.020937451074657804,0.0,0,0,0,0,0,0,-0.005337691101185042,0.0002333012297130052,-0.0016980801959962353,0.013514091553042989,0.012332696472748421,-0.008498249385989573,0,0
2001-03-09,0.019418085857101516,-0.014278127579490773,0.007490694845941328,0,0,0,0,0,0,0.045925479831678356,-0.014412462153252526,0.0002333012297130052,-0.0016980801959962353,0.013514091553042989,0.012332696472748421,0,0
2001-03-12,0.0002554760629433945,-0.048237605727629244,-0.012166750115256766,0,0,0,0,0,0,0.08389799491831217,-0.015463753740011296,-0.014412462153252526,0.0002333012297130052,-0.0016980801959962353,0.013514091553042989,0,0
2001-03-13,-0.012715036817012406,0.009493409040368895,-0.0011009478877177347,0,0,0,0,1,0,-0.11053769630487677,-0.01832526736326394,-0.015463753740011296,-0.014412462153252526,0.0002333012297130052,-0.0016980801959962353,0,0
2001-03-14,-0.01139149828609548,0.0,-0.014444125767090884,0,0,0,0,0,0,-0.025343143964767896,-0.01669249960025197,-0.01832526736326394,-0.015463753740011296,-0.014412462153252526,0.0002333012297130052,0,0
2001-03-15,0.051642151652955666,0.043700394347004796,-0.004752164283657052,0,0,0,1,1,0,0.0010509294789879833,0.018195021080768113,-0.01669249960025197,-0.01832526736326394,-0.015463753740011296,-0.014412462153252526,0,0
2001-03-16,0.033901551675681416,-0.03390157180205763,0.0049140031295211275,0,0,0,0,0,0,0.03851214222264125,-0.029474395502431028,0.018195021080768113,-0.01669249960025197,-0.01832526736326394,-0.015463753740011296,0,0
2001-03-19,0.017228303960177348,0.01224014136026523,0.0048899737351656295,0,1,0,0,0,0,-0.027489722583801227,-0.0020153514216550853,-0.029474395502431028,0.018195021080768113,-0.01669249960025197,-0.01832526736326394,0,0
2001-03-20,0.0067588582951069445,-0.0024066390116426486,-0.013685549040306028,0,0,0,0,0,0,0.030832177696290205,0.017002786349535986,-0.0020153514216550853,-0.029474395502431028,0.018195021080768113,-0.01669249960025197,0,0
2001-03-21,0.010761056956298238,-0.011518753463193407,-0.020969352215491552,0,0,0,0,0,0,0.016419707591725903,-0.01896809662138548,0.017002786349535986,-0.0020153514216550853,-0.029474395502431028,0.018195021080768113,0,0
2001-03-22,-0.058281215892023744,-0.05257042512622326,-0.026833421516939664,0,1,0,0,0,0,0.013180276785224668,-0.041625536832128295,-0.01896809662138548,0.017002786349535986,-0.0020153514216550853,-0.029474395502431028,0,0
2001-03-23,0.028234103507532707,0.006277484739943282,0.004376284251706435,0,1,0,0,0,0,-0.08042154225509161,0.01632940767565263,-0.041625536832128295,-0.01896809662138548,0.017002786349535986,-0.0020153514216550853,0,0
2001-03-26,0.017353330244274903,0.014652259556911637,0.018538122630382875,0,0,0,0,0,1,-0.032523160179136874,0.03175453653646055,0.01632940767565263,-0.041625536832128295,-0.01896809662138548,0.017002786349535986,0,0
2001-03-27,0.015191735353920079,0.007317054880253193,0.03584615678276815,0,0,0,0,0,0,-0.05328832656369212,0.026804615456808272,0.03175453653646055,0.01632940767565263,-0.041625536832128295,-0.01896809662138548,0,0
2001-03-28,-0.008196133410087389,-0.00852111823050123,-0.017250579388909205,0,0,1,1,0,0,0.01125978447670756,-0.02012042671545009,0.026804615456808272,0.03175453653646055,0.01632940767565263,-0.041625536832128295,0,0
2001-03-29,0.023677118526829976,-0.00817021153801074,0.0035551285727893896,0,0,0,0,0,0,-0.003422329848017347,-0.004570474620309981,-0.02012042671545009,0.026804615456808272,0.03175453653646055,0.01632940767565263,0,0
2001-03-30,0.036676333785920674,0.028323712233854475,0.02696119537133505,0,0,0,0,0,0,-0.0041812200298984034,0.008073451249353403,-0.004570474620309981,-0.02012042671545009,0.026804615456808272,0.03175453653646055,0,0
2001-04-02,-0.009269015382225054,-0.008328491327735544,-0.009901047288450789,0,0,0,0,0,1,0.05974386557878939,-0.0027017302029140955,0.008073451249353403,-0.004570474620309981,-0.02012042671545009,0.026804615456808272,0,0
2001-04-03,-0.009166793470947985,-0.018607465789843933,0.005105139574798269,0,1,0,0,0,0,0.05323560476312668,-0.02804831228351812,-0.0027017302029140955,0.008073451249353403,-0.004570474620309981,-0.02012042671545009,0,0
2001-04-04,0.0,-0.009732454540441646,0.018280212161624686,0,0,0,1,1,1,-0.00614483540424392,0.01320164929559813,-0.02804831228351812,-0.0027017302029140955,0.008073451249353403,-0.004570474620309981,0,0
2001-04-05,0.03197454579027667,0.021723410026389126,0.010772577387469423,0,0,0,0,0,0,-0.08235228585748847,0.015433801203026813,0.01320164929559813,-0.02804831228351812,-0.0027017302029140955,0.008073451249353403,0,0
2001-04-06,0.001532727238094345,-0.002265780770804677,-0.010938993519690646,0,0,0,0,0,0,0.04188760371064788,-0.0036174435642859592,0.015433801203026813,0.01320164929559813,-0.02804831228351812,-0.0027017302029140955,0,0
2001-04-09,0.01652138540445688,-0.0029331643116070564,0.006886342273941011,0,0,0,0,0,0,-0.0009397239991863101,0.010972307679181177,-0.0036174435642859592,0.015433801203026813,0.01320164929559813,-0.02804831228351812,0,0
2001-04-10,0.014097149755034255,0.030140919891397486,0.0,0,0,0,0,0,0,-0.04093066861251648,0.024368298512649173,0.010972307679181177,-0.0036174435642859592,0.015433801203026813,0.01320164929559813,0,0
2001-04-11,-0.030534460523085494,0.009456351878563356,-0.02184795231165687,0,0,0,0,0,0,-0.016725179164508105,-0.0025709225914943563,0.024368298512649173,0.010972307679181177,-0.0036174435642859592,0.015433801203026813,0,0
2001-04-12,-0.008773312967194196,0.0004841938193221986,0.01764998081388026,0,0,0,0,0,0,-0.0727123100101139,-0.0037214336070147008,-0.0025709225914943563,0.024368298512649173,0.010972307679181177,-0.0036174435642859592,0,0
2001-04-17,0.008995562908578003,-0.0029824897575130814,0.008784830183774232,0,0,0,1,0,1,-0.016650928454886263,-0.0009542233618407629,-0.0037214336070147008,-0.0025709225914943563,0.024368298512649173,0.010972307679181177,0,0
2001-04-18,0.035100817353018385,0.08165895520899677,0.003921585691304051,0,0,0,1,0,0,-0.01847725617671391,0.022161540455162776,-0.0009542233618407629,-0.0037214336070147008,-0.0025709225914943563,0.024368298512649173,0,0
2001-04-19,-0.02879419559218188,-0.00835434607485231,-0.010821612244212655,0,0,1,0,0,0,-0.014382840127435272,-0.003162800370377383,0.022161540455162776,-0.0009542233618407629,-0.0037214336070147008,-0.0025709225914943563,0,0
2001-04-20,0.0,-0.017529524386611067,-0.009813597959155713,0,0,0,0,0,0,0.028373495585674095,0.001395528776168907,-0.003162800370377383,0.022161540455162776,-0.0009542233618407629,-0.0037214336070147008,0,0
2001-04-23,0.0024585138382073233,-0.0017266675764262933,-0.0009808491672133562,0,0,0,0,0,0,0.029185983055542705,-0.0014466733778111486,0.001395528776168907,-0.003162800370377383,0.022161540455162776,-0.0009542233618407629,0,0
2001-04-24,-0.0279087881170765,0.014141544395501165,-0.0018215524586008343,1,0,0,0,0,0,0.028120699739823386,-0.005293909189705135,-0.0014466733778111486,0.001395528776168907,-0.003162800370377383,0.022161540455162776,0,0
2001-04-25,0.001552463007654017,-0.004447267901483612,-0.027807239833948533,0,0,0,0,0,0,-0.044261321309515086,-0.0021940400137841682,-0.005293909189705135,-0.0014466733778111486,0.001395528776168907,-0.003162800370377383,0,0
2001-04-26,0.007997581846417199,0.0029235499529444747,0.016922675450988505,0,0,1,1,0,0,-0.017185863962343197,0.006976858507873476,-0.0021940400137841682,-0.005293909189705135,-0.0014466733778111486,0.001395528776168907,0,0
2001-04-27,0.021433766028694776,0.04681673818429573,0.0,0,0,0,0,0,0,-0.03998898915875849,0.014061519153263048,0.006976858507873476,-0.0021940400137841682,-0.005293909189705135,-0.0014466733778111486,0,0
2001-04-30,-0.011762145838452956,0.006535925351261548,0.009514796964012957,1,0,0,0,0,0,0.051128079604470744,0.002617818951033081,0.014061519153263048,0.006976858507873476,-0.0021940400137841682,-0.005293909189705135,0,0
2001-05-01,-0.013194569900601534,-0.02084556374347526,0.008486614463443827,0,0,0,0,0,0,-0.050755892480755904,-0.006540625199110458,0.002617818951033081,0.014061519153263048,0.006976858507873476,-0.0021940400137841682,0,0
2001-05-02,0.012345835822299362,-0.0353473469447593,-0.012178148795615283,0,0,0,0,0,0,-0.015154942509216136,-0.00402289285035296,-0.006540625199110458,0.002617818951033081,0.014061519153263048,0.006976858507873476,0,0
2001-05-03,-0.021211026031636403,-0.02603560592238161,-0.010461399474930574,1,0,1,0,0,0,0.01013654773181805,-0.0237201164939874,-0.00402289285035296,-0.006540625199110458,0.002617818951033081,0.014061519153263048,0,0
2001-05-04,-0.005614098806465777,0.013350993232733826,-0.0015521596955937222,0,0,0,1,0,0,-0.10247051955519444,0.017961827938709696,-0.0237201164939874,-0.00402289285035296,-0.006540625199110458,0.002617818951033081,0,0
2001-05-08,0.029032786765791498,0.012544239445916063,-0.011428626465488137,0,0,0,0,0,0,-0.002043705462966868,0.002738882190069263,0.017961827938709696,-0.0237201164939874,-0.00402289285035296,-0.006540625199110458,0,0
2001-05-09,0.018647659896030372,0.006538291637605792,-0.007227241389629862,0,0,0,1,0,0,-0.02394109647088114,0.0012394281615232202,0.002738882190069263,0.017961827938709696,-0.0237201164939874,-0.00402289285035296,0,0
2001-05-10,0.02651381885237409,0.02228312651568454,0.03283667697701157,0,0,1,0,0,0,0.013000789633663032,0.01185737996274451,0.0012394281615232202,0.002738882190069263,0.017961827938709696,-0.0237201164939874,0,0
2001-05-11,-0.010420518034173317,-0.0038378185531963895,-0.026023751023082783,0,0,1,0,0,0,0.01713844533548212,-0.011331599131328503,0.01185737996274451,0.0012394281615232202,0.002738882190069263,0.017961827938709696,0,0
2001-05-14,-0.04115475809877432,-0.06708506405082926,-0.006062094778303524,1,1,0,0,0,0,0.001237397014439473,-0.03561168003135612,-0.011331599131328503,0.01185737996274451,0.0012394281615232202,0.002738882190069263,0,0
2001-05-15,-0.0046061804148971415,0.0022883947010911092,0.0027816769647500852,0,0,0,0,0,0,-0.0290960166900682,0.026429114476398674,-0.03561168003135612,-0.011331599131328503,0.01185737996274451,0.0012394281615232202,0,0
2001-05-16,0.023302423180791405,-0.0034344785128051546,0.016529301951210506,0,0,0,0,0,1,-0.056828458084969724,0.0070095705229851115,0.026429114476398674,-0.03561168003135612,-0.011331599131328503,0.01185737996274451,0,0
2001-05-17,0.020803127629763326,0.008534823084641405,0.0,0,0,0,0,0,0,-0.04685872930131134,0.003494921950678404,0.0070095705229851115,0.026429114476398674,-0.03561168003135612,-0.011331599131328503,0,0
2001-05-18,0.014018921179330996,-0.013621080159454759,0.0,0,0,0,0,0,0,-0.010775440387462216,0.0017767253711508493,0.003494921950678404,0.0070095705229851115,0.026429114476398674,-0.03561168003135612,0,0
2001-05-21,-0.004980306900492005,0.013079484402572417,0.00037182768028304016,0,0,0,0,0,0,-0.05345855008092154,0.004486976378618326,0.0017767253711508493,0.003494921950678404,0.0070095705229851115,0.026429114476398674,0,0
